ASX LISTED COMPANIES AS AT THU OCT 23 00:01:24 EST 2014
ANTIPA MINERALS LIMITED,AZY.AX,MATERIALS
ANTISENSE THERAPEUTICS LIMITED,ANP.AX,PHARMACEUTICALS & BIOTECHNOLOGY
AP EAGERS LIMITED,APE.AX,RETAILING
APA FINANCIAL SERVICES LTD,APP.AX,DIVERSIFIED FINANCIALS
APA GROUP,APA.AX,UTILITIES
APAC COAL LIMITED,AAL.AX,ENERGY
APHRODITE GOLD LIMITED,AQQ.AX,MATERIALS
APN NEWS & MEDIA LIMITED,APN.AX,MEDIA
APN OUTDOOR GROUP LIMITED,APO.AX,CLASS PEND
APN PROPERTY GROUP LIMITED,APD.AX,DIVERSIFIED FINANCIALS
APOLLO CONSOLIDATED LIMITED,AOP.AX,MATERIALS
APOLLO MINERALS LIMITED,AON.AX,MATERIALS
APOLLO SERIES 2006-1E TRUST,APJ.AX,NOT APPLIC
APOLLO SERIES 2007-1E TRUST,AOY.AX,NOT APPLIC
APOLLO SERIES 2010-1 TRUST,AOJ.AX,NOT APPLIC
APOLLO SERIES 2013-1 TRUST,AOR.AX,NOT APPLIC
APPLABS TECHNOLOGIES LTD,ALA.AX,SOFTWARE & SERVICES
APT PIPELINES LIMITED.,AQH.AX,NOT APPLIC
AQUAINT CAPITAL HOLDINGS LIMITED,AQU.AX,CONSUMER SERVICES
AQUARIUS PLATINUM LIMITED,AQP.AX,MATERIALS
ARAFURA RESOURCES LIMITED,ARU.AX,MATERIALS
ARB CORPORATION LIMITED,ARP.AX,AUTOMOBILES & COMPONENTS
ARC EXPLORATION LIMITED,ARX.AX,MATERIALS
ARCHER EXPLORATION LIMITED,AXE.AX,MATERIALS
ARDENT LEISURE GROUP,AAD.AX,CONSUMER SERVICES
ARDENT RESOURCES LTD,AWO.AX,MATERIALS
ARENA REIT.,ARF.AX,REAL ESTATE
ARGENT MINERALS LIMITED,ARD.AX,MATERIALS
ARGENTINA MINING LIMITED,AVK.AX,MATERIALS
ARGO EXPLORATION LIMITED,AXT.AX,MATERIALS
ARGO INVESTMENTS LIMITED,ARG.AX,NOT APPLIC
ARGONAUT RESOURCES NL,ARE.AX,MATERIALS
ARGOSY MINERALS LIMITED,AGY.AX,MATERIALS
ARIADNE AUSTRALIA LIMITED,ARA.AX,COMMERCIAL SERVICES & SUPPLIES
